Planet Name,Host Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Equilibrium Temperature [K],Insolation Flux [Earth Flux],Planet Density [g/cm**3],Eccentricity,Impact Parameter,Ratio of Semi-Major Axis to Stellar Radius,habitability_score
K2-266 d,K2-266,2,4,Transit,2018,14.697,2.93,8.9,0.028,538.0,13.95,2.03,0.047,0.29,31.7,0.4732345309410875
K2-285 c,K2-285,1,4,Transit,2018,7.138048,3.53,15.68,0.04933,741.0,50.35,1.95,0.0,0.05,22.51,0.48296869798592257
TOI-4201 b,TOI-4201,1,1,Transit,2023,3.5819194,13.675,788.21445,2.48,725.0,45.2,1.82,0.041,0.499,13.694,0.4288886791846499
TOI-3331 A b,TOI-3331 A,2,1,Transit,2022,2.0180231,12.98,721.47048,2.27,1488.0,818.5,1.82,0.0,0.569,7.09,0.4195132320759146
HAT-P-61 b,HAT-P-61,1,1,Transit,2021,1.90231289,10.077,335.94463,1.057,1505.0,849.5,1.8,0.113,0.767,6.9,0.38238859288162586
TOI-1231 b,TOI-1231,1,1,Transit,2021,24.245586,3.65,15.4,0.04845,330.0,1.93,1.74,0.087,0.27,58.1,0.626451509629866
TOI-125 c,TOI-125,1,3,Transit,2019,9.15059,2.759,6.63,0.02086,828.0,77.59,1.73,0.066,0.522,20.66,0.41947397035692646
Kepler-138 b,Kepler-138,1,4,Transit,2014,10.3134,0.64,0.07,0.00022,452.0,9.9,1.7,0.02,0.7,30.3,0.44083947867368645
TOI-815 b,TOI-815,2,2,Transit,2024,11.197259,2.94,7.6,0.02391,686.0,36.9,1.64,0.2,0.279,25.2,0.42810907784394514
HATS-74 A b,HATS-74 A,2,1,Transit,2021,1.73185606,11.568,464.02947,1.46,895.0,106.9,1.64,0.044,0.406,8.9,0.42951423276603373
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,15.624,3.67,14.67,0.04616,990.0,160.0,1.62,0.07,0.6,15.79,0.4060891101915618
TOI-3364 b,TOI-3364,1,1,Transit,2023,5.8768918,12.229,530.77344,1.67,1264.0,425.0,1.6,0.0,0.22,10.24,0.4518845688410291
TOI-1266 c,TOI-1266,1,2,Transit,2020,18.801611,2.13,2.88,0.00906,354.0,2.7,1.6,0.34,0.769,52.1,0.4833010891817753
HD 191939 b,HD 191939,1,6,Transit,2020,8.8803256,3.41,10.0,0.03146,880.0,100.0,1.4,0.031,0.61,18.36,0.40938642415278803
TOI-2010 b,TOI-2010,1,1,Transit,2023,141.834025,11.814,408.72733,1.286,400.0,4.09,1.36,0.212,0.147,109.8,0.5323912168742759
HD 191939 c,HD 191939,1,6,Transit,2020,28.579743,3.195,8.0,0.02517,600.0,21.0,1.35,0.034,0.63,40.0,0.4237098533662132
HAT-P-59 b,HAT-P-59,1,1,Transit,2021,4.1419771,12.588,489.45575,1.54,1278.0,441.4,1.347,0.03,0.8299,9.87,0.38247158527365893
TOI-1266 b,TOI-1266,1,2,Transit,2020,10.894841,2.62,4.23,0.01331,425.0,5.5,1.3,0.22,0.549,36.21,0.44935091289843093
TOI-2977 b,TOI-2977,1,1,Transit,2023,2.3505614,13.159,533.95172,1.68,1544.0,947.8,1.28,0.0,0.097,6.806,0.4583025653391035
TOI-1937 A b,TOI-1937 A,2,1,Transit,2023,0.94667944,13.978,638.8351,2.01,2097.0,3230.0,1.28,0.0,0.8653,3.85,0.38068304217341337
KELT-21 b,KELT-21,1,1,Transit,2018,3.6127647,17.777,1242.7153,3.91,2051.0,2950.0,1.24,0.0,0.423,6.86,0.4248832244524619
TOI-561 c,TOI-561,1,4,Transit,2020,10.778831,2.91,5.39,0.01696,800.0,68.2,1.2,0.03,0.12,22.43,0.45803442573134445
Kepler-1654 b,Kepler-1654,1,1,Transit,2018,1047.8356,9.18,158.915,0.5,206.0,0.3,1.2,0.26,0.114,370.3,0.6328488494186844
TOI-1431 b,TOI-1431,1,1,Transit,2021,2.650237,16.701,991.62463,3.12,2370.0,5300.0,1.17,0.0022,0.881,5.15,0.377392897875797
TOI-1728 b,TOI-1728,1,1,Transit,2020,3.49151,5.05,26.78,0.08426,767.0,57.78,1.14,0.057,0.39,13.48,0.4253577906451108
WASP-77 A b,WASP-77 A,2,1,Transit,2012,1.36002854,13.787,529.81995,1.667,1715.0,1440.0,1.115,0.0074,0.109,5.332,0.4532459085214288
HATS-77 b,HATS-77,1,1,Transit,2021,3.0876262,13.058,436.69623,1.374,828.0,78.37,1.077,0.045,0.328,12.06,0.43061985704171435
TOI-4137 b,TOI-4137,1,1,Transit,2022,3.8016122,13.574,457.67291,1.44,1570.0,1013.0,1.01,0.0,0.584,7.8,0.4059434952453711
HATS-49 b,HATS-49,1,1,Transit,2020,4.1480467,8.575,112.19399,0.353,835.0,80.45,0.986,0.071,0.42,13.91,0.41649103533441895
TOI-2236 b,TOI-2236,1,1,Transit,2022,3.5315902,14.37,502.16888,1.58,1688.0,1356.0,0.93,0.0,0.766,6.84,0.38639172772181724
K2-419 A b,K2-419 A,2,1,Transit,2024,20.35847252,10.55,196.0,0.617,377.0,3.3,0.916,0.042,0.389,48.46,0.5317186205927864
TOI-674 b,TOI-674,1,1,Transit,2021,1.977143,5.25,23.6,0.07425,635.0,38.4,0.91,0.0,0.624,12.8,0.41026687438298565
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,35.747,3.94,10.18,0.03203,752.0,53.0,0.91,0.15,0.25,27.42,0.42546331144012134
TOI-3693 b,TOI-3693,1,1,Transit,2022,9.088516,12.599,324.18498,1.02,801.0,68.6,0.89,0.0,0.17,22.13,0.45315358311353426
HATS-75 b,HATS-75,1,1,Transit,2021,2.7886556,9.909,156.05375,0.491,772.0,59.26,0.878,0.064,0.406,12.037,0.41868745318188194
HATS-68 b,HATS-68,1,1,Transit,2018,3.5862202,13.809,410.0007,1.29,1741.0,1521.0,0.856,0.036,0.736,6.232,0.38286042520309005
TOI-3819 b,TOI-3819,1,1,Transit,2023,3.2443141,13.137,352.78953,1.11,1633.0,1186.0,0.85,0.0,0.808,6.43,0.3810810406326574
TOI-3714 b,TOI-3714,2,1,Transit,2022,2.154849,11.321,222.47988,0.7,750.0,54.0,0.85,0.03,0.26,11.5,0.4384898076780748
TOI-1899 b,TOI-1899,1,1,Transit,2020,29.090312,11.097,212.94503,0.67,378.0,3.4,0.85,0.044,0.35,54.01,0.5325621285749285
TOI-2000 c,TOI-2000,1,2,Transit,2023,9.127055,8.14,81.7,0.257,1038.0,149.0,0.829,0.063,0.631,16.64,0.39298643908510233
TOI-6034 b,TOI-6034,2,1,Transit,2024,2.576184,11.92,254.0,0.798,714.0,43.0,0.82,0.04,0.674,12.95,0.39711741194270905
TOI-3629 b,TOI-3629,1,1,Transit,2022,3.936551,8.295,82.63539,0.26,690.0,39.0,0.8,0.05,0.2,15.4,0.4440449124420637
TOI-2207 b,TOI-2207,1,1,Transit,2022,8.001968,11.153,203.41018,0.64,1259.0,406.0,0.8,0.174,0.2,11.7,0.4166445814929265
HAT-P-62 b,HAT-P-62,1,1,Transit,2021,2.6453235,12.027,241.86742,0.761,1512.0,867.2,0.77,0.101,0.25,6.93,0.4208723617914732
TOI-3688 A b,TOI-3688 A,2,1,Transit,2023,3.246075,13.081,311.47184,0.98,1534.0,924.3,0.76,0.0,0.27,7.53,0.4339747055048017
TOI-169 b,TOI-169,1,1,Transit,2020,2.2554477,12.173,251.40353,0.791,1715.0,1443.0,0.76,0.0,0.9221,5.88,0.3683316095583973
TOI-181 b,TOI-181,1,1,Transit,2023,4.532,6.956,46.1687,0.1452,895.0,102.43,0.7562,0.1543,0.5348,15.5641,0.388818137423637
TOI-4860 b,TOI-4860,1,1,Transit,2023,1.5227591,8.7,86.7,0.273,694.0,42.5,0.75,0.008,0.29,11.0,0.4391327975628137
NGTS-15 b,NGTS-15,1,1,Transit,2021,3.27623,12.33,238.68913,0.751,1146.0,425.0,0.74,0.0,0.509,10.0,0.41070729817218715
HAT-P-68 b,HAT-P-68,1,1,Transit,2020,2.29840551,12.016,230.10892,0.724,1028.0,184.8,0.727,0.041,0.212,9.6,0.43508540970858234
HATS-59 b,HATS-59,1,2,Transit,2018,5.416081,12.621,256.17098,0.806,1128.0,269.0,0.7,0.129,0.457,12.66,0.397004920812763
K2-329 b,K2-329,1,1,Transit,2020,12.4551225,8.676,82.6358,0.26,650.0,45.7,0.694,0.0697,0.364,26.62,0.42415419404290605
TOI-157 b,TOI-157,1,1,Transit,2020,2.0845435,14.415,375.0394,1.18,1588.0,1062.0,0.686,0.0,0.8045,5.785,0.3792001900785035
TOI-3884 b,TOI-3884,1,1,Transit,2022,4.5445828,6.43,32.59,0.10254,441.0,6.29,0.67,0.06,0.089,25.9,0.50064264508358
HATS-63 b,HATS-63,1,1,Transit,2018,3.0566527,13.529,305.1168,0.96,1398.0,634.1,0.67,0.136,0.724,8.09,0.36728185376526795
K2-140 b,K2-140,1,1,Transit,2017,6.569188,13.563,295.58042,0.93,962.0,204.0,0.66,0.0,0.42,14.1,0.42022168526632264
TOI-257 b,TOI-257,1,1,Transit,2021,18.38818,7.163,43.86032,0.138,1027.0,186.0,0.65,0.0,0.643,17.6,0.3986175976294075
TOI-3785 b,TOI-3785,1,1,Transit,2023,4.6747373,5.14,14.95,0.04704,582.0,19.1,0.61,0.11,0.6,18.89,0.4025954530926242
TOI-2364 b,TOI-2364,1,1,Transit,2023,4.0197517,8.608,71.51139,0.225,1091.0,237.0,0.61,0.0,0.21,11.84,0.43992507010595766
TOI-5344 b,TOI-5344,1,1,Transit,2023,3.792622,10.604,130.9453,0.412,689.0,38.0,0.604,0.054,0.7348,14.78,0.38754865930856347
TOI-2134 c,TOI-2134,1,2,Transit,2023,95.5,7.27,41.89,0.1318,306.0,1.4,0.599,0.67,0.464,112.0,0.5867001053750318
TOI-4463 A b,TOI-4463 A,2,1,Transit,2023,2.8807198,13.26,252.35576,0.794,1395.0,633.0,0.595,0.0,0.88,8.17,0.37113981454516376
HATS-48 A b,HATS-48 A,2,1,Transit,2020,3.1316666,8.967,77.23269,0.243,955.0,137.6,0.589,0.162,0.083,11.33,0.42903153393090165
PH2 b,PH2,1,1,Transit,2013,282.52542,9.337,87.08498,0.274,295.0,1.2,0.58,0.215,0.297,188.9,0.7454230356237616
TOI-4087 b,TOI-4087,1,1,Transit,2023,3.1774835,13.047,232.01474,0.73,1458.0,753.9,0.57,0.0,0.328,8.63,0.42601849531563424
HD 191939 d,HD 191939,1,6,Transit,2020,38.353037,2.995,2.8,0.00881,540.0,14.3,0.57,0.031,0.44,48.7,0.4422227778908739
