Planet Name,Host Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Orbital Period [days],Planet Radius [Earth Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Equilibrium Temperature [K],Insolation Flux [Earth Flux],Planet Density [g/cm**3],Eccentricity,Impact Parameter,Ratio of Semi-Major Axis to Stellar Radius,habitability_score
TOI-2567 b,TOI-2567,1,1,Transit,2022,5.983944,10.929,63.88351,0.201,1352.0,558.0,0.269,0.0,0.26,8.64,0.42929273352862163
TOI-3023 b,TOI-3023,1,1,Transit,2023,3.9014971,16.432,197.05361,0.62,1596.0,1084.0,0.245,0.0,0.13,6.53,0.44132162200718983
HATS-64 b,HATS-64,1,1,Transit,2018,4.908897,18.82,305.1168,0.96,1793.0,1711.0,0.245,0.151,0.321,6.68,0.39948028795834833
TOI-3912 b,TOI-3912,1,1,Transit,2023,3.4936264,14.28,129.03833,0.406,1512.0,872.2,0.243,0.0,0.544,7.16,0.40008977039356636
KELT-4 A b,KELT-4 A,3,1,Transit,2016,2.9895932,19.044,286.68266,0.902,1823.0,1840.0,0.228,0.0,0.689,5.792,0.384955088411261
NGTS-12 b,NGTS-12,1,1,Transit,2020,7.532806,11.747,66.10864,0.208,1257.0,416.0,0.223,0.0,0.2,10.28,0.43526002073281655
TOI-2587 A b,TOI-2587 A,2,1,Transit,2023,5.45664,12.072,69.28659,0.218,1445.0,728.0,0.216,0.0,0.716,7.92,0.3827871597962492
KELT-12 b,KELT-12,1,1,Transit,2017,5.031623,19.952,301.9385,0.95,1800.0,1749.0,0.209,0.0,0.586,6.08,0.39509230921754945
TOI-1173 b,TOI-1173,2,1,Transit,2024,7.06466,9.19,27.4,0.08621,868.0,132.0,0.195,0.023,0.771,16.02,0.37725556137458693
HAT-P-58 b,HAT-P-58,1,1,Transit,2021,4.0138379,14.93,118.23217,0.372,1622.0,1146.0,0.194,0.073,0.534,7.02,0.38944012765731617
WASP-76 b,WASP-76,2,1,Transit,2016,1.80988198,20.781,284.1386,0.894,2228.0,4104.0,0.17,0.0,0.027,4.08,0.4500622527750564
TOI-3976 A b,TOI-3976 A,2,1,Transit,2023,6.607662,12.274,55.61997,0.175,1295.0,469.0,0.165,0.0,0.505,10.63,0.40404738060298023
HAT-P-60 b,HAT-P-60,1,1,Transit,2021,4.7947813,18.282,182.43351,0.574,1772.0,1634.0,0.164,0.25,0.668,6.146,0.3488900756584203
TOI-2796 b,TOI-2796,1,1,Transit,2023,4.8084983,17.262,139.8445,0.44,1205.0,352.0,0.15,0.0,0.97,11.43,0.35776729371715327
TOI-2583 A b,TOI-2583 A,2,1,Transit,2023,4.5207265,14.46,79.4571,0.25,1456.0,750.9,0.144,0.0,0.27,8.31,0.42659910902145787
HAT-P-64 b,HAT-P-64,1,1,Transit,2021,4.007232,19.089,184.34048,0.58,1766.0,1611.0,0.144,0.101,0.232,6.67,0.4147039788086605
WASP-174 b,WASP-174,1,1,Transit,2018,4.2337005,16.107,104.88337,0.33,1528.0,901.9,0.135,0.0,0.953,8.789,0.3582033202142277
HAT-P-32 b,HAT-P-32,2,1,Transit,2011,2.1500082,22.194,216.1244,0.68,1836.0,1841.0,0.108,0.159,0.083,5.344,0.4202211069211966
TOI-2641 b,TOI-2641,1,1,Transit,2023,4.880974,18.103,122.68177,0.386,1387.0,602.0,0.092,0.18,1.043,9.677,0.3220604457487547
TOI-615 b,TOI-615,1,1,Transit,2023,4.6615983,18.977,138.25536,0.435,1666.0,1286.0,0.084,0.39,0.476,8.458,0.3466371256757436
TOI-1420 b,TOI-1420,1,1,Transit,2023,6.9561063,11.89,25.1,0.07897,957.0,139.0,0.082,0.17,0.412,16.53,0.38975348938339327
HATS-62 b,HATS-62,1,1,Transit,2018,3.2768837,11.825,56.89157,0.179,1237.0,387.4,0.076,0.298,0.348,9.59,0.373982344416847
TOI-3540 A b,TOI-3540 A,2,1,Transit,2022,3.119999,23.539,375.03752,1.18,1498.0,841.3,0.065,0.0,1.073,7.51,0.3451908609408668
TOI-2193 A b,TOI-2193 A,2,1,Transit,2022,2.1225735,19.84,298.7587,0.94,1763.0,1600.0,0.06,0.0,0.99,5.71,0.35291238980840123
WASP-193 b,WASP-193,1,1,Transit,2023,6.2463345,16.41,44.17815,0.139,1254.0,413.0,0.059,0.056,0.309,11.74,0.4143254476032119
